School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Towson,0.615,-4.08,65.3,104.5,0.345,0.332,0.527,54.2,56.5,9.8,10.9,0.494,16.7,36.2,0.239,65.3,101.6,0.286,0.419,0.53,45.8,56.4,8.6,6.4,0.499,15.8,27.4,0.207,2022-2023
Troy,0.571,0.77,70.7,110.4,0.299,0.411,0.553,51.8,52,12.7,8,0.526,15.2,33.3,0.21,70.7,93.8,0.357,0.37,0.539,48.2,48.9,8.5,7.1,0.497,22,27.6,0.267,2022-2023
Tulane,0.583,-3.98,73,107.5,0.335,0.377,0.56,46,54.8,11.3,10.4,0.513,12.3,20,0.271,73,97.7,0.291,0.396,0.524,54,61.3,6.4,13.9,0.489,18.4,29,0.214,2022-2023
Tulsa,0.333,1.69,70.2,96.1,0.233,0.42,0.509,46,48,9.4,4.6,0.487,16.7,26.5,0.155,70.2,104.2,0.264,0.357,0.527,54,50,11.3,11.8,0.497,16.3,34.5,0.192,2022-2023
UAB,0.846,-0.88,74.2,114.1,0.396,0.321,0.568,54.6,55.4,11.5,12,0.526,15.2,37,0.297,74.2,91.8,0.288,0.35,0.491,45.4,49.5,8.7,8.2,0.462,18.8,29.4,0.193,2022-2023
UC Davis,0.583,-0.07,74,104.3,0.439,0.346,0.547,55.6,50.3,8.7,8.3,0.52,18.2,36,0.281,74,96.3,0.289,0.305,0.508,44.4,42.5,9.8,9.1,0.479,17.1,26.3,0.199,2022-2023
UC Irvine,0.583,4.29,71.9,108.1,0.256,0.307,0.552,55.6,54,10.7,8.5,0.529,15.5,32.4,0.179,71.9,90.8,0.344,0.376,0.495,44.4,52.8,8.9,8.2,0.453,17.3,21.5,0.246,2022-2023
UC Riverside,0.615,1.99,68.7,105.9,0.243,0.39,0.539,53.4,49.3,7.2,4.4,0.514,15.1,30.6,0.174,68.7,99,0.349,0.32,0.521,46.6,46.2,9,7.6,0.488,15.2,23.9,0.24,2022-2023
UC San Diego,0.462,0.99,67.5,97.3,0.278,0.413,0.502,50.2,49.8,9.5,5.8,0.467,15.7,27.6,0.202,67.5,102.8,0.284,0.373,0.526,49.8,55.3,9.1,9.6,0.495,14.3,26.5,0.204,2022-2023
UC Santa Barbara,0.833,-3.53,67.6,105.1,0.365,0.293,0.558,55,54.8,11.1,7.8,0.525,17.6,31.8,0.258,67.6,93.9,0.307,0.326,0.507,45,47,7.6,8.6,0.476,18,23.8,0.21,2022-2023
UCLA,0.846,5.33,69.6,115.4,0.222,0.26,0.567,52.5,49.8,12.9,10.8,0.548,12.5,32.9,0.159,69.6,88.4,0.24,0.409,0.501,47.5,52.8,7.3,4.9,0.48,22.4,28.7,0.156,2022-2023
