School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Central Michigan,0.233,-1.52,68.8,95.4,0.305,0.401,0.509,46.6,49.7,9.1,9,0.478,17.3,25.3,0.211,68.8,111.4,0.361,0.424,0.561,53.4,54.2,9.2,9.7,0.53,14.3,31.3,0.254,2021-22
Charleston Southern,0.194,-4.21,71.3,95.6,0.304,0.454,0.507,50,49.8,9.1,8.1,0.478,17.8,27.6,0.206,71.3,106.1,0.297,0.377,0.561,50,52.8,10.9,9,0.53,15.6,25.2,0.221,2021-22
Charlotte,0.548,-0.42,66.7,105.1,0.28,0.398,0.564,49,55.4,7.2,8,0.529,15.6,22.6,0.221,66.7,106.9,0.265,0.363,0.558,51,46.7,8.4,9.2,0.526,15,25.5,0.203,2021-22
Chattanooga NCAA,0.771,-0.94,66,111.6,0.266,0.389,0.56,53.7,47,10.8,6.4,0.531,14.2,32.7,0.198,66,96.9,0.264,0.404,0.509,46.3,45.2,8.4,9.6,0.482,16.2,26.2,0.182,2021-22
Chicago State,0.219,-1.96,66.7,93,0.294,0.438,0.487,48.3,43.3,8.2,6.4,0.459,18.8,32.2,0.192,66.7,111.4,0.384,0.36,0.57,51.7,56.7,9.9,10.9,0.535,16.3,34.6,0.279,2021-22
Cincinnati,0.545,4.28,68.6,101.2,0.296,0.424,0.499,49.8,53.3,9.2,9.7,0.47,13.1,29.9,0.198,68.6,96.1,0.341,0.307,0.494,50.2,52.4,8.3,9.7,0.451,15.7,29.2,0.246,2021-22
Clemson,0.515,6.31,66.6,106.8,0.298,0.378,0.555,51.4,55.2,8.8,7.2,0.524,14.6,25.8,0.219,66.6,101.9,0.291,0.426,0.534,48.6,50.6,8,10.6,0.497,15.1,24.1,0.222,2021-22
Cleveland State,0.645,-5.64,68.7,107.5,0.362,0.338,0.559,51.9,60.1,12.3,10.4,0.534,16.7,33.8,0.243,68.7,99.8,0.333,0.431,0.531,48.1,54.3,10.8,9.4,0.49,18.9,31.1,0.251,2021-22
Coastal Carolina,0.576,-2.41,67.6,106.6,0.307,0.358,0.541,53.9,51,9.8,11.2,0.513,16.4,34.2,0.214,67.6,95.6,0.241,0.456,0.487,46.1,54.9,10.4,7.4,0.458,15.4,28.1,0.171,2021-22
Colgate NCAA,0.657,-6.37,67.6,111.4,0.262,0.422,0.579,51.9,62,9,9.3,0.559,14.8,26.6,0.182,67.6,98.9,0.241,0.351,0.507,48.1,53.5,9.4,8.6,0.484,14.1,25.1,0.163,2021-22
College of Charleston,0.531,-1.23,74.3,104.5,0.304,0.376,0.536,54.7,47.2,10.6,7.2,0.503,17.6,35.9,0.222,74.3,102.1,0.376,0.353,0.55,45.3,47.1,10.7,12.7,0.512,17.1,25,0.272,2021-22
Colorado,0.636,6.15,68.4,103.2,0.347,0.336,0.545,53.6,54,8,8.7,0.504,17.2,30,0.262,68.4,97.8,0.27,0.369,0.513,46.4,45.6,10.1,9.7,0.481,15.5,24.4,0.196,2021-22
Colorado State NCAA,0.806,4.77,66,110.4,0.296,0.395,0.583,49.8,53.8,9.6,9.8,0.551,13.8,22.1,0.229,66,99.3,0.255,0.436,0.528,50.2,49.9,8.3,8.7,0.501,16.6,24.9,0.182,2021-22
Columbia,0.154,-4.62,71,94.5,0.263,0.363,0.509,49,48.1,8.3,5.7,0.49,18.7,27.3,0.165,71,110.5,0.249,0.427,0.57,51,51.8,11.8,8.5,0.545,14.7,27.9,0.185,2021-22
Connecticut NCAA,0.697,6.88,66.8,109.8,0.305,0.345,0.534,55.1,52.6,8.7,16.6,0.496,14.4,37.7,0.23,66.8,95.9,0.317,0.326,0.495,44.9,44.5,9.3,8.2,0.46,15.6,27.6,0.218,2021-22
Coppin State,0.281,-5.03,74.4,90,0.346,0.499,0.497,44,49.4,10.8,8.1,0.46,17.6,20.1,0.237,74.4,100.4,0.281,0.415,0.523,56,53.7,9.2,9.8,0.493,18.1,32,0.2,2021-22
Cornell,0.577,-3.45,73.5,107.2,0.303,0.458,0.571,51.3,61.2,10.7,8.3,0.546,17,28,0.215,73.5,101,0.295,0.434,0.526,48.7,49.1,9.3,9.1,0.5,16.2,27.2,0.2,2021-22
Creighton NCAA,0.657,8.54,68.1,100.5,0.267,0.381,0.537,51.7,52,8,10.1,0.506,17.9,28.4,0.197,68.1,96.4,0.208,0.332,0.478,48.3,45.2,9.8,9.8,0.449,13.3,28.6,0.151,2021-22
Dartmouth,0.36,-2.62,66.8,100.8,0.241,0.449,0.526,48.2,42.9,9.8,9.6,0.493,15,23.9,0.186,66.8,100.5,0.28,0.376,0.539,51.8,42.8,8.8,7,0.511,17.2,26.3,0.199,2021-22
Davidson NCAA,0.794,1.92,66.1,113.8,0.316,0.412,0.591,52.3,54.8,7,8.2,0.561,13.3,23.8,0.238,66.1,99.5,0.276,0.435,0.525,47.7,51,7.6,7.1,0.492,15,22,0.204,2021-22
Dayton,0.686,2.41,64.4,107.1,0.305,0.337,0.562,54.5,55.9,8.6,11.1,0.539,16.7,30.1,0.208,64.4,94.7,0.237,0.372,0.498,45.5,53.3,9.5,10.4,0.469,15.2,23.5,0.171,2021-22
Delaware NCAA,0.629,-1.82,68,107.2,0.339,0.388,0.57,49.2,48.4,9.7,9.8,0.536,16.3,26.9,0.252,68,102.5,0.283,0.357,0.529,50.8,45.6,9.4,7.9,0.493,16,30.3,0.215,2021-22
Delaware State,0.071,-7.39,71,88,0.306,0.332,0.49,47.6,42.8,10.2,12.3,0.458,21.4,27.4,0.205,71,103.1,0.328,0.458,0.531,52.4,64,11.2,9.1,0.498,17,33.1,0.231,2021-22
Denver,0.344,-5.96,68.5,101.7,0.318,0.356,0.553,48.4,48.3,7.5,9.5,0.526,16.9,23.2,0.222,68.5,107.3,0.318,0.399,0.553,51.6,46.2,7.7,9.2,0.519,14.8,27.7,0.235,2021-22
DePaul,0.484,6.73,70.4,103.7,0.334,0.342,0.521,51.6,43.4,8.8,12.5,0.488,14.8,31.7,0.232,70.4,102.2,0.26,0.353,0.521,48.4,48.2,9,8.7,0.488,14.6,28.5,0.195,2021-22
Detroit Mercy,0.467,-5.02,65.8,107.6,0.229,0.488,0.558,48.7,48.1,8.9,6,0.53,15.5,27.9,0.178,65.8,107.2,0.299,0.408,0.564,51.3,57.3,9.2,6.7,0.538,16.8,29.4,0.212,2021-22
Drake,0.694,1.04,66.4,109,0.28,0.346,0.552,52.1,43.6,10.3,9.5,0.52,13.9,29.5,0.211,66.4,98,0.328,0.379,0.529,47.9,43.1,8.2,7.6,0.492,17.4,25,0.239,2021-22
Drexel,0.517,-1.9,68,106.1,0.253,0.354,0.549,50.2,45.5,6.9,7.5,0.525,14.1,25.3,0.18,68,102.4,0.259,0.321,0.529,49.8,41.1,9.3,6.5,0.504,14.2,25.6,0.181,2021-22
Duke NCAA,0.821,7.26,68.2,117,0.286,0.357,0.583,52.8,55.4,9.3,13.4,0.557,13,31.6,0.211,68.2,99.1,0.19,0.336,0.492,47.2,50.4,8.8,8.2,0.471,13.5,29,0.132,2021-22
Duquesne,0.2,1.86,66.9,95.9,0.219,0.333,0.481,47.4,40.4,9.8,10.8,0.454,14.5,29.3,0.155,66.9,107.9,0.219,0.32,0.559,52.6,53.4,8.8,9.9,0.54,16.4,31.4,0.155,2021-22
East Carolina,0.5,2.66,68.9,99,0.335,0.392,0.516,49.3,63.1,9.7,9,0.471,16.3,27.5,0.253,68.9,102.2,0.31,0.41,0.534,50.7,61,10,11.9,0.505,16.2,28.3,0.216,2021-22
East Tennessee State,0.469,-0.36,66.6,107.9,0.229,0.417,0.541,50,49.2,10.1,8.7,0.517,14.5,31.3,0.166,66.6,109.3,0.256,0.461,0.552,50,54.9,9,7.2,0.527,14.6,31,0.183,2021-22
Eastern Illinois,0.161,-3.97,66.6,84.6,0.315,0.362,0.485,44.4,58.9,9.5,9.2,0.457,21.6,21.7,0.201,66.6,106.8,0.241,0.436,0.549,55.6,61,12.9,12.9,0.529,16.1,33.3,0.165,2021-22
Eastern Kentucky,0.419,-5.38,73,106.5,0.213,0.484,0.525,47.5,54.7,13.7,10.1,0.503,13.3,29.7,0.151,73,100.8,0.279,0.391,0.557,52.5,55.8,8.4,9.1,0.532,20.6,30.7,0.199,2021-22
Eastern Michigan,0.323,-3.03,70.7,95.5,0.303,0.35,0.516,47.7,40.2,8.1,8.1,0.485,17.1,23,0.211,70.7,104.9,0.293,0.361,0.541,52.3,45.8,9.4,9.7,0.513,15,28.2,0.205,2021-22
Eastern Washington,0.529,-5.14,71.6,106.5,0.333,0.428,0.565,51.7,59.3,7.7,7.8,0.528,16.3,26.7,0.251,71.6,103.4,0.306,0.419,0.535,48.3,47.9,8.5,8.1,0.497,14.2,25.1,0.231,2021-22
Elon,0.313,1.39,67.3,99.8,0.258,0.443,0.531,48.5,52.3,7.2,7.2,0.501,17.1,25.8,0.19,67.3,107.4,0.425,0.383,0.548,51.5,48.3,11,10,0.5,14.3,28.5,0.318,2021-22
Evansville,0.2,1.4,64.2,90.3,0.243,0.47,0.503,43.8,50.2,9.1,5.8,0.475,16,14.3,0.172,64.2,108,0.302,0.339,0.587,56.2,45.8,8.1,8.5,0.561,16.2,21.2,0.222,2021-22
