School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Denver,0.226,-1.99,71.6,95.4,0.362,0.291,0.525,48.3,45.1,8.1,7,0.491,17.4,20.8,0.25,71.6,105.5,0.379,0.434,0.56,51.7,48.6,8.6,6.5,0.517,15.8,24.8,0.287,2019-20
DePaul,0.5,8.95,71.7,97.8,0.333,0.304,0.512,50.3,52.2,11.1,14.8,0.484,17.5,30.9,0.219,71.7,98.3,0.352,0.418,0.527,49.7,58,11.1,8.7,0.485,19.2,29.8,0.261,2019-20
Detroit Mercy,0.258,-1.9,70.6,99,0.321,0.441,0.51,49.5,44.5,8.1,8.2,0.462,16.5,30.8,0.251,70.6,110.2,0.318,0.392,0.561,50.5,62.2,9,10.4,0.531,14.8,30.5,0.23,2019-20
Drake,0.588,0.61,68,101.6,0.305,0.381,0.553,51.4,59.4,8.1,11.6,0.524,17,23.5,0.218,68,99.1,0.295,0.402,0.531,48.6,48.4,9.6,7.8,0.496,16.1,22.3,0.218,2019-20
Drexel,0.424,-2.2,67.9,100.3,0.285,0.371,0.534,51.8,57.9,8.3,7,0.506,18.6,30.4,0.199,67.9,103.3,0.291,0.302,0.534,48.2,45.1,11.3,9.2,0.497,14.5,26.6,0.221,2019-20
Duke,0.806,8,72.9,111.4,0.356,0.315,0.559,53.8,52.1,11.2,13.6,0.526,15.2,34.8,0.256,72.9,91.8,0.309,0.267,0.489,46.2,46.8,9.8,9,0.457,17.7,28,0.207,2019-20
Duquesne,0.7,1.67,67.8,104.2,0.328,0.431,0.542,49.8,56.5,10.1,14.8,0.512,16,29.2,0.231,67.8,96.8,0.292,0.369,0.506,50.2,53,9.2,9.2,0.48,17.4,30.2,0.193,2019-20
East Carolina,0.355,1.82,70.7,95.6,0.368,0.328,0.511,50.3,57.2,9.1,9.2,0.467,17.1,27.3,0.265,70.7,101.3,0.402,0.427,0.533,49.7,56.6,9.8,8.3,0.501,16.4,26.6,0.269,2019-20
East Tennessee State,0.882,-1.82,68.2,111.9,0.368,0.388,0.57,53.4,51.3,12,10.9,0.542,15.3,32.7,0.256,68.2,92.6,0.323,0.384,0.516,46.6,46,8.8,8.4,0.483,20.4,25.8,0.227,2019-20
Eastern Illinois,0.531,-7.41,70.9,104,0.298,0.324,0.536,50.4,50.4,10.7,11.5,0.513,15.3,29.2,0.197,70.9,96.9,0.332,0.331,0.521,49.6,50.8,8.4,7.1,0.481,18.7,28,0.244,2019-20
Eastern Kentucky,0.485,-4.46,76.2,98,0.319,0.401,0.513,45.2,46.3,12.2,5.5,0.476,16.1,25.7,0.231,76.2,99,0.356,0.352,0.545,54.8,54.6,9.1,8.7,0.507,20.9,33,0.26,2019-20
Eastern Michigan,0.5,0.95,68.1,95.4,0.419,0.378,0.509,48.6,42.9,14.4,11.6,0.479,18.3,27.8,0.263,68.1,94.1,0.295,0.474,0.52,51.4,64.1,9.4,7.7,0.492,21.4,30.4,0.202,2019-20
Eastern Washington,0.742,-1.81,74.3,108,0.287,0.416,0.556,50.9,59.6,9.5,8.7,0.532,15,28.3,0.199,74.3,97.2,0.319,0.323,0.517,49.1,55,9.6,8.5,0.482,16.9,26.6,0.226,2019-20
Elon,0.382,-2.03,67.3,101.8,0.268,0.493,0.536,48.2,56.3,7,6,0.506,15.3,23.5,0.197,67.3,106.2,0.41,0.414,0.561,51.8,52.7,8.8,10.2,0.516,15.6,24.8,0.307,2019-20
Evansville,0.281,0.61,67.9,96.7,0.322,0.424,0.527,46.6,52.5,6.8,5.7,0.49,16.6,20.3,0.235,67.9,106.5,0.326,0.295,0.559,53.4,41.4,8,7.9,0.524,15.1,25.7,0.243,2019-20
Fairfield,0.375,-4.81,63.6,89.8,0.359,0.291,0.475,51.6,42.4,7.9,8.2,0.431,18.4,30.2,0.25,63.6,97.3,0.311,0.368,0.518,48.4,51.5,9.4,8.3,0.483,17,26.1,0.222,2019-20
Fairleigh Dickinson,0.367,-5.87,69.3,103.4,0.295,0.357,0.546,48.3,45.2,9.1,9.4,0.516,16.4,26.8,0.213,69.3,106.7,0.309,0.406,0.547,51.7,56.3,9.5,8.3,0.519,15.8,31.3,0.217,2019-20
Florida,0.613,9.1,66.3,107.5,0.34,0.368,0.555,52.4,46.5,8.6,11.1,0.521,15.5,31.1,0.246,66.3,98.7,0.337,0.356,0.519,47.6,48.3,8.2,7,0.479,16.9,27.4,0.246,2019-20
Florida A&M,0.444,-6.24,70.8,93.3,0.387,0.238,0.487,48.6,41,10.3,5.2,0.454,18.1,31.2,0.246,70.8,101.5,0.412,0.352,0.548,51.4,49.1,10.5,8.3,0.515,18.9,31.7,0.279,2019-20
Florida Atlantic,0.531,-1.25,70.2,100,0.269,0.422,0.523,51,47.6,10.3,5.8,0.495,16.4,28.9,0.189,70.2,97.7,0.291,0.38,0.533,49,46.7,9.2,6.5,0.504,18.9,25.5,0.204,2019-20
Florida Gulf Coast,0.313,-4.3,66.8,91.5,0.231,0.416,0.5,49.2,55.8,9,12.4,0.476,20,28,0.159,66.8,98.1,0.301,0.372,0.516,50.8,49,11.1,9.4,0.486,17.5,29.3,0.208,2019-20
Florida International,0.594,-1,73.9,103.4,0.292,0.416,0.548,47.8,52.2,11.8,16.2,0.529,17.7,29.5,0.19,73.9,97.7,0.303,0.358,0.512,52.2,48.9,10.4,8.2,0.474,18.7,34.4,0.223,2019-20
Florida State,0.839,7.64,69.7,107.3,0.301,0.354,0.553,51.9,48.5,12.5,15.9,0.519,16.3,33.4,0.226,69.7,93.6,0.344,0.402,0.513,48.1,44.5,7.6,7.5,0.47,20.6,30,0.252,2019-20
Fordham,0.29,-0.45,65.2,88.8,0.27,0.417,0.478,47,54.3,10.7,9.2,0.45,16.9,21.3,0.179,65.2,93.5,0.331,0.471,0.505,53,61.5,10.3,8.4,0.472,18.5,26.2,0.226,2019-20
Fresno State,0.367,3.39,65.3,103.8,0.305,0.49,0.532,52,52.2,7.4,11.1,0.502,16.4,30.5,0.214,65.3,103.4,0.29,0.411,0.528,48,51.5,8.7,8.1,0.492,13.8,26.1,0.218,2019-20
Furman,0.781,-1.55,69.3,110,0.302,0.463,0.579,47.8,53.9,11.8,8.5,0.556,14.7,23.6,0.212,69.3,95,0.253,0.413,0.528,52.2,54.8,9,8.6,0.501,20.4,28.3,0.182,2019-20
Gardner-Webb,0.5,-5.83,67.7,104.1,0.354,0.39,0.549,49.7,54.1,9,13.7,0.518,15.9,27.1,0.245,67.7,102.1,0.306,0.423,0.525,50.3,56,8.6,8,0.492,15.6,28.4,0.218,2019-20
George Mason,0.531,1.48,67.4,99.2,0.344,0.345,0.511,52.5,45.6,9,13.3,0.476,17.2,33.1,0.238,67.4,100.1,0.306,0.381,0.521,47.5,49.9,9.7,9.9,0.496,16.4,27.8,0.203,2019-20
George Washington,0.375,0.92,66.6,96.4,0.328,0.425,0.523,48.3,52.2,7.9,10.1,0.49,17.4,23,0.229,66.6,103.7,0.311,0.304,0.53,51.7,45.3,10.4,11.8,0.501,13.8,26.7,0.214,2019-20
Georgetown,0.469,9.6,71.6,104.3,0.339,0.31,0.535,52.1,57,8.7,11.5,0.491,16.3,32.4,0.262,71.6,103.2,0.266,0.419,0.538,47.9,58.1,10.7,7.5,0.508,16.4,28.6,0.195,2019-20
Georgia,0.5,8.06,72,103.8,0.334,0.383,0.54,51.4,49.3,9.7,8,0.508,17.3,32.3,0.234,72,103.3,0.307,0.347,0.533,48.6,46.4,8.8,8.9,0.509,15.7,29.8,0.203,2019-20
Georgia Southern,0.606,-0.83,73.3,103.1,0.364,0.4,0.537,48.5,46.6,10.7,10.2,0.507,15.6,26.6,0.246,73.3,96.4,0.275,0.369,0.52,51.5,50.1,8,6.5,0.49,18.9,29.1,0.196,2019-20
Georgia State,0.594,0.13,74,104.6,0.312,0.383,0.543,49.7,53.1,10.5,11.2,0.508,16.4,31.6,0.231,74,96.8,0.454,0.355,0.509,50.3,50.5,8.5,9.5,0.454,18.3,32.4,0.329,2019-20
Georgia Tech,0.548,9.19,70.7,96.3,0.345,0.299,0.529,51.7,54.4,10,11.7,0.499,20,29.4,0.233,70.7,93.3,0.354,0.328,0.49,48.3,51.7,10.9,9.2,0.446,16.9,28.5,0.252,2019-20
Gonzaga,0.939,3.13,72.5,120.1,0.388,0.313,0.599,56.6,52.5,10.1,9.5,0.575,13.2,33.7,0.267,72.5,93.2,0.218,0.341,0.5,43.4,43.4,8.3,6.9,0.476,16.5,22.7,0.152,2019-20
Grambling,0.531,-9.79,71.8,99.2,0.368,0.275,0.528,51.9,49.5,10.4,11.4,0.495,17.4,30.5,0.251,71.8,95.2,0.358,0.386,0.51,48.1,58.6,9.3,7.1,0.475,18.2,27.6,0.244,2019-20
Grand Canyon,0.433,-4.05,67.8,103.2,0.372,0.33,0.548,48.2,48,7,3.7,0.506,15.1,23,0.278,67.8,106.8,0.295,0.405,0.544,51.8,55.1,7.9,6.7,0.513,14.2,28.2,0.215,2019-20
Green Bay,0.515,-2.8,75.3,107.3,0.317,0.324,0.555,48.5,55.2,9.1,8.1,0.519,14.5,26.8,0.24,75.3,105.3,0.32,0.399,0.546,51.5,51.6,7.5,6,0.509,16.5,30.8,0.24,2019-20
Hampton,0.441,-5.8,71.9,107,0.405,0.317,0.546,49.5,53.8,6.9,10,0.509,14.1,28.2,0.283,71.9,109.3,0.375,0.385,0.547,50.5,53.9,7.6,7.3,0.514,13.6,30,0.26,2019-20
Hartford,0.545,-6.02,69.2,96,0.309,0.401,0.519,47,55.4,10.5,6.5,0.486,17.3,22.9,0.217,69.2,96.1,0.297,0.385,0.496,53,52.9,9.6,9.1,0.462,16.5,30.6,0.207,2019-20
Harvard,0.724,-1.55,68.9,104,0.322,0.378,0.546,53.4,45,9.2,14.1,0.516,17.2,30.4,0.226,68.9,94.9,0.313,0.352,0.501,46.6,44.1,10,6.9,0.467,16.3,25,0.217,2019-20
Hawaii,0.567,-2.1,68.9,99.1,0.315,0.38,0.522,50.1,55.1,7.9,5.1,0.489,16.6,27.8,0.222,68.9,97.2,0.318,0.267,0.521,49.9,38,8.9,8.9,0.485,17.1,26.4,0.23,2019-20
High Point,0.281,-5.34,67.7,96.7,0.4,0.354,0.506,51.3,55,7.5,11.9,0.463,18,32.2,0.28,67.7,109.8,0.357,0.463,0.576,48.7,60.6,10.2,10.1,0.552,16,28.2,0.243,2019-20
Hofstra,0.765,-3.85,68.9,110.8,0.336,0.378,0.562,50.8,46.8,10,5.7,0.52,14.2,30.3,0.263,68.9,99.3,0.21,0.364,0.524,49.2,54.8,8.5,6.9,0.5,17.3,29.1,0.152,2019-20
Holy Cross,0.094,-4.26,68.9,94.5,0.252,0.377,0.514,47.6,47,7,7,0.491,18.3,25.1,0.169,68.9,113.8,0.316,0.336,0.579,52.4,47.8,10.5,8.8,0.556,13.5,28.5,0.221,2019-20
Houston,0.742,6.3,66.8,107.8,0.329,0.343,0.519,56.5,50.8,7.7,15.1,0.48,14.6,38.7,0.24,66.8,92.7,0.416,0.395,0.487,43.5,54.1,7.7,5.7,0.439,16.1,25.3,0.288,2019-20
Houston Christian,0.138,-3.62,78,102.3,0.38,0.33,0.547,49.4,46.4,7.2,5.1,0.503,18.6,32.2,0.284,78,120,0.367,0.336,0.611,50.6,56.6,11,11,0.581,14.6,32.1,0.272,2019-20
Howard,0.121,-7.98,71.9,96,0.331,0.374,0.518,45,54.8,7.5,9.2,0.485,17.9,26.4,0.23,71.9,111.7,0.35,0.369,0.559,55,61.6,8.6,7,0.533,15.9,36.5,0.239,2019-20
Idaho,0.25,-2.1,69.3,93.8,0.301,0.26,0.513,49.7,49,8,6.1,0.484,18.1,24.4,0.203,69.3,104.7,0.281,0.388,0.54,50.3,52.7,10,7.1,0.515,14.2,26,0.193,2019-20
Idaho State,0.267,-1.62,67.7,101.8,0.349,0.331,0.539,50.6,46.1,6.7,5.7,0.514,17.3,29.3,0.229,67.7,107,0.258,0.273,0.556,49.4,41.4,8.8,8.6,0.527,14.7,27.2,0.195,2019-20
Illinois,0.677,9.84,67.5,106.6,0.332,0.309,0.528,55.3,50.7,7.2,7.3,0.491,15,35.8,0.241,67.5,96.3,0.233,0.33,0.499,44.7,46.3,8.5,7.9,0.47,15,25.5,0.169,2019-20
Illinois State,0.323,1.97,68.4,96.3,0.252,0.416,0.525,48.9,50.4,8.4,7.3,0.498,18.6,25.6,0.179,68.4,102,0.309,0.393,0.543,51.1,53.3,9.7,8.1,0.511,17.3,27.2,0.224,2019-20
Illinois-Chicago,0.514,-3.8,70.5,97.4,0.294,0.377,0.533,51.3,56.1,8.1,12,0.507,19.5,27.9,0.202,70.5,97.2,0.367,0.387,0.497,48.7,56.5,9.6,7.8,0.461,15.3,28.1,0.246,2019-20
Incarnate Word,0.29,-6.85,69.2,94,0.321,0.358,0.511,47.1,52.6,10.3,6.9,0.471,19.1,27.6,0.236,69.2,105.1,0.338,0.35,0.554,52.9,58.6,9.4,10.1,0.515,17.8,32.5,0.255,2019-20
Indiana,0.625,10.35,68.7,103.6,0.392,0.296,0.528,54,51,8.1,12.6,0.493,15.7,32.4,0.266,68.7,96.8,0.326,0.386,0.511,46,51.3,9,8.3,0.479,15.8,24.5,0.222,2019-20
Indiana State,0.6,1.81,66.2,102.9,0.329,0.343,0.549,49.2,51.6,8.3,10,0.517,15.5,23.5,0.236,66.2,100.5,0.326,0.368,0.536,50.8,52.1,7.7,7.7,0.506,17,25.4,0.227,2019-20
Iona,0.414,-5.37,68.6,100.7,0.337,0.424,0.552,48.5,54.8,9.9,10.4,0.51,18.3,25.1,0.26,68.6,101.9,0.342,0.392,0.52,51.5,58.4,9.8,9.1,0.494,16,31.7,0.222,2019-20
Iowa,0.645,10.62,70.6,110.2,0.344,0.376,0.554,51.5,63.9,8.7,10.6,0.516,14.7,32,0.258,70.6,102.5,0.268,0.4,0.525,48.5,58.8,8.8,9.9,0.494,15.2,29.5,0.194,2019-20
Iowa State,0.375,10.07,70.4,101.9,0.285,0.377,0.533,48.9,53,10.5,11.3,0.498,16.4,29.2,0.213,70.4,103.2,0.28,0.368,0.543,51.1,49.5,10.2,7.9,0.518,17.8,31.6,0.194,2019-20
IUPUI,0.219,-3.39,71.9,97.3,0.316,0.387,0.504,47.7,53.7,8.9,6.4,0.478,16.6,29.3,0.204,71.9,110.6,0.283,0.388,0.561,52.3,54.9,9.8,10.5,0.535,15.1,32.4,0.204,2019-20
Jackson State,0.469,-8.61,71.1,94.6,0.35,0.292,0.498,47.9,46,11.4,10.2,0.463,15.9,26.2,0.235,71.1,94.8,0.423,0.326,0.528,52.1,51,8.2,7.7,0.484,20.3,28.1,0.299,2019-20
Jacksonville,0.438,-5.63,67.6,97.7,0.311,0.355,0.514,52.5,45.8,7.4,7.9,0.486,17.5,29.2,0.208,67.6,97.4,0.281,0.389,0.497,47.5,44.4,9.8,8.6,0.463,13.8,25.6,0.201,2019-20
Jacksonville State,0.406,-6.36,70,102.1,0.291,0.359,0.532,52.8,52,9,7.3,0.506,17.3,31.4,0.201,70,98.7,0.285,0.381,0.539,47.2,53.5,9.3,8.2,0.514,18,24.8,0.197,2019-20
James Madison,0.3,-2.78,72.1,99.7,0.365,0.403,0.514,49.7,49.1,8.6,8.1,0.484,15.1,26.2,0.238,72.1,106.1,0.285,0.418,0.546,50.3,52.4,8,9.6,0.517,14.3,26,0.208,2019-20
Kansas,0.903,11.63,67.9,109.4,0.35,0.329,0.564,54.7,50.8,11.2,13.6,0.541,16.2,32.8,0.234,67.9,89,0.233,0.413,0.467,45.3,52.8,9.4,9.4,0.44,16.8,26.3,0.157,2019-20
Kansas City,0.533,-3.62,66.7,102.5,0.293,0.354,0.546,48.2,51.4,11.9,9.4,0.521,16.9,26,0.201,66.7,96.8,0.458,0.337,0.535,51.8,49.8,8.5,11.7,0.478,19.8,28.2,0.347,2019-20
Kansas State,0.344,9.48,67.2,95.1,0.347,0.391,0.506,48.9,55.1,12.8,7.9,0.475,18.4,29.6,0.229,67.2,96.3,0.388,0.401,0.533,51.1,52.9,11.2,12.1,0.496,21.2,30.2,0.272,2019-20
Kennesaw State,0.034,-2.63,68.1,81.1,0.325,0.309,0.439,45.9,42,7.4,5.5,0.393,19,25.8,0.228,68.1,110.4,0.304,0.377,0.571,54.1,52,9.4,10.6,0.553,16,31.2,0.201,2019-20
Kent State,0.625,-0.72,70.1,107.2,0.283,0.405,0.551,50.7,50.2,9.6,11.2,0.523,15.5,30.7,0.206,70.1,98.3,0.331,0.372,0.515,49.3,51.9,7.4,5.9,0.477,17.2,29.9,0.239,2019-20
Kentucky,0.806,7.46,68.5,107.9,0.408,0.266,0.561,53,52.2,7.6,13.6,0.507,15.8,30.8,0.325,68.5,95.8,0.321,0.383,0.489,47,46.7,7.2,7.7,0.453,15.1,28.5,0.22,2019-20
La Salle,0.5,1.71,69.8,96.2,0.331,0.416,0.513,49.6,55,11.4,8.9,0.484,18.1,28.6,0.22,69.8,99,0.401,0.373,0.528,50.4,55,11.7,11.9,0.485,17.7,28.3,0.287,2019-20
Lafayette,0.613,-5.94,67.7,103.6,0.239,0.439,0.553,49.7,59.3,7,11.3,0.527,16,23.4,0.177,67.7,101.7,0.222,0.358,0.505,50.3,43.5,8.5,6.1,0.483,12.3,27.1,0.151,2019-20
Lamar,0.531,-6.45,71.7,99.9,0.344,0.301,0.522,49.1,51.4,12.3,12.3,0.486,17.4,30.8,0.242,71.7,96.2,0.266,0.373,0.522,50.9,54.2,9.7,8.4,0.496,20.4,32.3,0.185,2019-20
Lehigh,0.344,-3.9,69.5,97.5,0.26,0.291,0.527,50.7,48.9,7.8,7.1,0.496,17.6,26.3,0.191,69.5,104.4,0.32,0.422,0.543,49.3,55.8,9.9,8.4,0.511,15.2,26,0.23,2019-20
Liberty,0.882,-7.26,61.3,111.8,0.312,0.405,0.579,53.2,53,9.2,9.2,0.553,13.6,24.8,0.222,61.3,87.7,0.273,0.394,0.477,46.8,44.7,7.5,5.7,0.445,17.5,21.2,0.189,2019-20
Lipscomb,0.5,-4.45,68.8,102,0.288,0.346,0.536,50.4,50.7,7.8,7.4,0.51,16.3,27.1,0.2,68.8,102.3,0.262,0.404,0.534,49.6,48.9,8.7,10.3,0.511,15.8,27,0.179,2019-20
Little Rock,0.677,-1.07,70.2,104.4,0.45,0.328,0.566,52.2,59.5,9.8,10.4,0.527,19.3,30.7,0.319,70.2,98.9,0.336,0.388,0.524,47.8,50.3,9.7,8.9,0.491,17.3,28.2,0.234,2019-20
Long Beach State,0.344,1.08,71.8,93.1,0.34,0.298,0.519,48,45.9,8.2,11.4,0.484,19.9,25.4,0.238,71.8,103.8,0.297,0.407,0.542,52,58.1,11.1,6.6,0.513,17.2,30.7,0.211,2019-20
Long Island University,0.455,-6.16,73.9,101.2,0.326,0.461,0.551,46.2,54.3,9,8.2,0.52,16.9,21.5,0.233,73.9,102.4,0.28,0.36,0.529,53.8,51.2,8.5,10.8,0.5,16.2,30.6,0.199,2019-20
Longwood,0.438,-9.31,68.5,96.5,0.332,0.481,0.521,48.7,48.5,9.7,6.7,0.487,17.5,23.6,0.233,68.5,98.6,0.343,0.431,0.535,51.3,57.5,8.7,11.6,0.505,18,25,0.233,2019-20
Louisiana,0.424,-0.67,72.8,100.1,0.346,0.409,0.526,49.3,45.8,8.2,8.2,0.484,16.8,29,0.257,72.8,104.2,0.326,0.367,0.548,50.7,50,9.7,8.2,0.513,16.7,29.5,0.238,2019-20
Louisiana State,0.677,7.2,70.8,112.8,0.354,0.343,0.568,54.3,44.9,8.8,10.6,0.527,15.1,35.1,0.272,70.8,102.7,0.264,0.414,0.52,45.7,48.4,8.1,8.3,0.494,14.4,28.5,0.181,2019-20
Louisiana Tech,0.733,-1.48,68.2,108.2,0.29,0.399,0.557,51.9,48.8,10.8,7.4,0.537,15.7,30.3,0.194,68.2,92.5,0.313,0.398,0.496,48.1,49.8,7.3,8.8,0.46,18.7,27.7,0.22,2019-20
Louisiana-Monroe,0.31,-0.16,66.2,94.9,0.325,0.346,0.51,49.2,51.5,6.7,9.4,0.478,18,27,0.222,66.2,101.4,0.336,0.379,0.515,50.8,52.4,9.1,7.4,0.478,14.9,29.8,0.238,2019-20
Louisville,0.774,7.55,67.1,109.4,0.322,0.38,0.557,54.5,53.5,7.5,7.9,0.525,15.4,32,0.236,67.1,94.1,0.29,0.41,0.49,45.5,47.2,8.9,9,0.451,15.3,25,0.212,2019-20
Loyola (IL),0.656,0.54,65.7,103.4,0.387,0.312,0.574,49.7,56.9,11.9,5.4,0.554,17.7,21.4,0.252,65.7,94.4,0.234,0.433,0.539,50.3,54,9.3,10.3,0.52,21.2,23.7,0.156,2019-20
Loyola (MD),0.469,-7.23,71.3,102.2,0.419,0.372,0.549,49.2,59.6,9.4,8,0.525,17,25.9,0.267,71.3,104.2,0.32,0.395,0.538,50.8,55.9,9.4,9,0.504,15.6,29.1,0.232,2019-20
Loyola Marymount,0.344,3.88,64.7,98.9,0.347,0.347,0.546,50.6,49.5,9,7.4,0.518,19.3,27.5,0.236,64.7,104.3,0.38,0.454,0.553,49.4,58.7,10.3,10.3,0.513,16.7,27.8,0.28,2019-20
Maine,0.29,-3.71,66.2,92.1,0.266,0.432,0.499,50.4,62.1,10.4,11.4,0.468,19.6,28.5,0.189,66.2,102,0.321,0.45,0.536,49.6,54.3,11.4,7.6,0.496,16.4,27.6,0.242,2019-20
Manhattan,0.419,-6.26,66.3,92.8,0.341,0.398,0.485,49.2,58,10.5,11.7,0.457,17.9,30.1,0.212,66.3,96,0.46,0.331,0.518,50.8,57.1,9.5,9.1,0.475,19.4,29.9,0.314,2019-20
Marist,0.233,-7.08,65.5,90.5,0.297,0.4,0.487,49.3,49.3,10.2,9.9,0.459,18.4,25.9,0.193,65.5,98.2,0.391,0.429,0.536,50.7,57.8,9.8,7,0.493,18.3,25.2,0.285,2019-20
Marquette,0.6,9.3,71.4,107.2,0.392,0.446,0.557,53.2,53.5,7.1,10.6,0.516,16.4,29.8,0.291,71.4,98.7,0.349,0.349,0.501,46.8,52,9.2,9.4,0.468,13.3,25.8,0.232,2019-20
Marshall,0.531,-0.05,75.5,100.1,0.29,0.386,0.526,48.5,50.6,10.7,14.3,0.503,17,27.9,0.192,75.5,96.4,0.371,0.333,0.498,51.5,41.4,10.8,7.9,0.458,17.3,32,0.256,2019-20
Maryland,0.774,10.5,67.7,106,0.377,0.431,0.532,52.9,55,6.8,11.8,0.486,14.3,31.5,0.282,67.7,95.2,0.242,0.381,0.489,47.1,54.7,8.1,10.9,0.461,15.1,26.3,0.169,2019-20
Maryland-Baltimore County,0.485,-4.43,68,100.1,0.332,0.392,0.529,49.9,49.9,7.9,7.8,0.505,16.3,26.1,0.214,68,98,0.309,0.447,0.522,50.1,50.7,9.4,8.6,0.483,17.2,26.3,0.231,2019-20
Maryland-Eastern Shore,0.156,-6.45,69.6,82,0.256,0.399,0.439,46.2,52.4,11,9.3,0.412,18.5,26.1,0.162,69.6,101.5,0.367,0.384,0.542,53.8,54.3,10.5,10.3,0.509,18.7,30.5,0.254,2019-20
Massachusetts,0.452,3.79,69.2,98.2,0.299,0.402,0.522,47.3,54.4,9.8,8.2,0.492,16.7,25.7,0.21,69.2,102,0.335,0.318,0.54,52.7,55.7,10.2,6.4,0.51,17.7,30.3,0.233,2019-20
Massachusetts-Lowell,0.406,-5.35,70.9,104,0.376,0.358,0.554,49.2,55.1,9.6,6.7,0.519,16.6,27.5,0.268,70.9,106,0.282,0.361,0.551,50.8,48.8,9.4,8.9,0.524,16.3,29.6,0.201,2019-20
McNeese State,0.469,-6.93,71.8,109.7,0.338,0.368,0.597,52.3,57.3,9.1,10.3,0.57,19.3,31.7,0.245,71.8,103.2,0.275,0.392,0.533,47.7,53.5,10.8,8.2,0.501,16.2,30.2,0.203,2019-20
Memphis,0.677,5.07,73.1,97.7,0.399,0.352,0.532,52.2,56.5,10.6,15.3,0.497,19.6,30,0.271,73.1,88.1,0.35,0.365,0.456,47.8,52.5,10.4,8.1,0.412,17.3,29.4,0.241,2019-20
Mercer,0.531,-2.7,70.4,101.9,0.26,0.364,0.542,53.2,54.4,9.4,7.6,0.515,17.9,31.1,0.188,70.4,99.9,0.347,0.403,0.524,46.8,51.3,10,6.9,0.496,16,26.2,0.229,2019-20
Merrimack,0.645,-6.53,64.4,96.4,0.254,0.433,0.517,43.8,56.3,15.2,8.6,0.493,16.3,23.2,0.173,64.4,92.4,0.37,0.312,0.511,56.2,58,7.8,11.4,0.469,22.8,34,0.263,2019-20
Miami (FL),0.484,8.66,68.7,101.2,0.281,0.372,0.525,47.2,38.9,8.4,9.4,0.488,15.1,26,0.213,68.7,104.1,0.229,0.347,0.526,52.8,54.6,8.8,11.5,0.502,15.1,31.9,0.163,2019-20
Miami (OH),0.406,-0.57,69.2,102.5,0.267,0.412,0.524,48.8,47.1,7.4,6.8,0.494,14.4,25.9,0.194,69.2,102.8,0.355,0.39,0.535,51.2,45.8,7.8,9.1,0.505,15.8,27.9,0.241,2019-20
Michigan,0.613,11.17,69.3,107,0.267,0.391,0.554,50.6,52.7,7.8,10.3,0.528,13.6,25,0.192,69.3,97.3,0.264,0.283,0.498,49.4,39.4,6.6,7.3,0.469,14.1,25.5,0.183,2019-20
Michigan State,0.71,10.76,69.4,109.4,0.308,0.375,0.56,55.1,65,7.4,13.4,0.526,15.6,32.8,0.231,69.4,93.3,0.293,0.377,0.47,44.9,55.7,8.7,9.2,0.433,13.8,26,0.206,2019-20
Middle Tennessee,0.258,0.84,71.2,98.5,0.311,0.412,0.516,49,52.3,9.5,7.9,0.488,17,28.1,0.209,71.2,104.8,0.385,0.34,0.565,51,52.1,9.2,8.1,0.533,17.7,27.2,0.272,2019-20
Milwaukee,0.387,-3.91,70.6,99.2,0.295,0.395,0.509,49.1,49.1,8.1,8.5,0.476,16.1,29.5,0.209,70.6,100.8,0.426,0.355,0.543,50.9,50.8,7.9,8.5,0.499,18.3,29.1,0.306,2019-20
Minnesota,0.484,11.55,67.3,104.9,0.275,0.407,0.521,52.1,58.5,7,11.3,0.494,14.2,31.3,0.19,67.3,97.7,0.28,0.312,0.49,47.9,52.6,7.7,9.9,0.456,13.7,27.9,0.198,2019-20
Mississippi,0.469,6.9,68.8,99.5,0.368,0.337,0.528,49.2,53.7,10.3,8,0.486,16.7,26.2,0.269,68.8,98.8,0.406,0.347,0.525,50.8,55.2,8.7,10.4,0.476,17.2,27.9,0.301,2019-20
Mississippi State,0.645,6.96,67.3,109,0.395,0.28,0.559,55.1,51.7,8.3,14,0.515,17.5,37,0.298,67.3,101.2,0.316,0.362,0.519,44.9,50.5,10.5,7.5,0.481,14.9,28.3,0.232,2019-20
Mississippi Valley State,0.1,-7.68,78.9,86.1,0.229,0.412,0.454,42.2,41.7,9.2,6.6,0.43,16.1,23.4,0.149,78.9,113.1,0.361,0.346,0.566,57.8,59.4,9,7.7,0.54,15,35.9,0.247,2019-20
Missouri,0.484,6.54,67.1,99.3,0.357,0.404,0.521,51.5,50.3,10,10,0.47,18,31.4,0.279,67.1,96.4,0.478,0.379,0.519,48.5,49.1,8.8,10.5,0.463,18.3,27.7,0.347,2019-20
Missouri State,0.485,0.71,68.6,102.6,0.288,0.338,0.533,54.6,46.4,9.3,7.7,0.498,17,31.9,0.215,68.6,98.5,0.332,0.387,0.531,45.4,46.9,9,7.7,0.496,16.4,22.7,0.236,2019-20
